"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position"
"cg28751288_BC21","Obese_UP",0.0514887109809569,"Higher_methylation_in_Heavy","chr10",82713564
"cg28772882_BC21","Obese_UP",0.0562239850207303,"Higher_methylation_in_Heavy","chr10",84603895
"cg28786150_TC21","Lean_UP",-0.0634615040722003,"Higher_methylation_in_Light","chr10",85907627
"cg28791731_TC21","Obese_UP",0.0512623434425878,"Higher_methylation_in_Heavy","chr10",86536752
"cg28854236_TC11","Obese_UP",0.052480878587456,"Higher_methylation_in_Heavy","chr10",93640434
"cg28860390_TC21","Obese_UP",0.0668508904407302,"Higher_methylation_in_Heavy","chr10",94143325
"cg28872680_TC21","Obese_UP",0.0560088869479794,"Higher_methylation_in_Heavy","chr10",95222714
"cg28873742_BC21","Obese_UP",0.0589002376182247,"Higher_methylation_in_Heavy","chr10",95302500
"cg28892512_TC21","Obese_UP",0.0557707635238958,"Higher_methylation_in_Heavy","chr10",97482036
"cg28904414_TC11","Obese_UP",0.0583847889484954,"Higher_methylation_in_Heavy","chr10",99194926
"cg28908559_BC21","Obese_UP",0.0793154010301011,"Higher_methylation_in_Heavy","chr10",99560723
"cg28912210_TC21","Lean_UP",-0.0508647877500324,"Higher_methylation_in_Light","chr10",100014068
"cg28924314_BC21","Obese_UP",0.0611708457821142,"Higher_methylation_in_Heavy","chr10",102365701
"cg28979691_TC21","Obese_UP",0.0561550597088466,"Higher_methylation_in_Heavy","chr10",110931587
"cg29027680_BC11","Obese_UP",0.0580300956884946,"Higher_methylation_in_Heavy","chr10",116729254
"cg29033782_TC21","Obese_UP",0.0605759803964795,"Higher_methylation_in_Heavy","chr10",117153354
"cg29073762_BC21","Obese_UP",0.0678220670275272,"Higher_methylation_in_Heavy","chr10",120396895
"cg29074271_BC21","Obese_UP",0.0639286887777413,"Higher_methylation_in_Heavy","chr10",120428578
"cg29074286_TC11","Obese_UP",0.111121248466495,"Higher_methylation_in_Heavy","chr10",120428784
"cg29074312_TC21","Obese_UP",0.0529760130558068,"Higher_methylation_in_Heavy","chr10",120429567
"cg29084940_TC21","Obese_UP",0.0556526333196924,"Higher_methylation_in_Heavy","chr10",121243010
"cg29089045_TC11","Obese_UP",0.0593287866086573,"Higher_methylation_in_Heavy","chr10",121477477
"cg29092502_TC21","Obese_UP",0.0543132805254743,"Higher_methylation_in_Heavy","chr10",121692724
"cg29104445_TC21","Obese_UP",0.0529725635307945,"Higher_methylation_in_Heavy","chr10",122814374
"cg29128922_TC11","Obese_UP",0.0512238533127245,"Higher_methylation_in_Heavy","chr10",125969424
"cg29134443_BC21","Obese_UP",0.0606323304657208,"Higher_methylation_in_Heavy","chr10",126555389
"cg29141865_BC21","Obese_UP",0.0532868404466476,"Higher_methylation_in_Heavy","chr10",127091016
"cg29168509_BC21","Obese_UP",0.0570234158137805,"Higher_methylation_in_Heavy","chr10",129001784
"cg29182168_BC21","Obese_UP",0.0625715746138627,"Higher_methylation_in_Heavy","chr11",3650447
"cg29230938_TC11","Obese_UP",0.0649821354747261,"Higher_methylation_in_Heavy","chr11",8467601
"cg29253316_TC11","Obese_UP",0.0509439947600667,"Higher_methylation_in_Heavy","chr11",12037746
"cg29264571_BC21","Obese_UP",0.0547656370787065,"Higher_methylation_in_Heavy","chr11",14380529
"cg29317984_BC21","Lean_UP",-0.0533028914442502,"Higher_methylation_in_Light","chr11",22513203
"cg29320199_TC21","Obese_UP",0.0714091704505417,"Higher_methylation_in_Heavy","chr11",22829705
"cg29334394_TC21","Obese_UP",0.0510957855021029,"Higher_methylation_in_Heavy","chr11",24637897
"cg29336104_BC21","Obese_UP",0.0606592624033825,"Higher_methylation_in_Heavy","chr11",24977944
"cg29340123_TC21","Obese_UP",0.053471872988055,"Higher_methylation_in_Heavy","chr11",25768811
"cg29360012_TC11","Obese_UP",0.0745828365778532,"Higher_methylation_in_Heavy","chr11",29824819
"cg29373593_BC21","Lean_UP",-0.0590959623438363,"Higher_methylation_in_Light","chr11",31872481
"cg29388906_BC21","Lean_UP",-0.0732477751942628,"Higher_methylation_in_Light","chr11",33395339
"cg29400365_BC11","Obese_UP",0.0537812118316897,"Higher_methylation_in_Heavy","chr11",34798375
"cg29414243_BC11","Obese_UP",0.0504214126694796,"Higher_methylation_in_Heavy","chr11",36046697
"cg29509996_TC11","Obese_UP",0.0535040495298702,"Higher_methylation_in_Heavy","chr11",50231092
"cg29524569_TC11","Obese_UP",0.0575891150115094,"Higher_methylation_in_Heavy","chr11",51574620
"cg29532840_TC21","Obese_UP",0.0500999970508792,"Higher_methylation_in_Heavy","chr11",52272041
"cg29545478_BC11","Obese_UP",0.0662953652688241,"Higher_methylation_in_Heavy","chr11",53463959
"cg29546063_BC21","Obese_UP",0.0527443707085713,"Higher_methylation_in_Heavy","chr11",53493618
"cg29557458_BC21","Obese_UP",0.0511867504344439,"Higher_methylation_in_Heavy","chr11",54658697
"cg29594811_TC21","Obese_UP",0.0519004688691329,"Higher_methylation_in_Heavy","chr11",58867120
"cg29594834_TC21","Obese_UP",0.0594133524321149,"Higher_methylation_in_Heavy","chr11",58867416
"cg29613401_BC21","Lean_UP",-0.054337849193505,"Higher_methylation_in_Light","chr11",60320909
"cg29639473_TC21","Lean_UP",-0.0500495339412447,"Higher_methylation_in_Light","chr11",62753087
"cg29650470_BC11","Obese_UP",0.058221806244557,"Higher_methylation_in_Heavy","chr11",63924425
"cg29708327_BC11","Obese_UP",0.0640463533568618,"Higher_methylation_in_Heavy","chr11",69655569
"cg29722989_BC11","Obese_UP",0.0649607740057076,"Higher_methylation_in_Heavy","chr11",70615711
"cg29722991_TC11","Obese_UP",0.0524296148001576,"Higher_methylation_in_Heavy","chr11",70615726
"cg29735645_TC11","Obese_UP",0.0694976901845411,"Higher_methylation_in_Heavy","chr11",72051342
"cg29760506_BC11","Obese_UP",0.0542870325167084,"Higher_methylation_in_Heavy","chr11",75022124
"cg29772434_TC21","Obese_UP",0.0507400355776172,"Higher_methylation_in_Heavy","chr11",75929807
"cg29775889_BC11","Obese_UP",0.0584172359957375,"Higher_methylation_in_Heavy","chr11",76248673
"cg29826162_TC21","Obese_UP",0.0538699749880011,"Higher_methylation_in_Heavy","chr11",80746739
"cg29834116_BC21","Obese_UP",0.0516400882298042,"Higher_methylation_in_Heavy","chr11",81593286
"cg29844582_BC11","Obese_UP",0.0603465811442108,"Higher_methylation_in_Heavy","chr11",82798562
"cg29862828_TC11","Obese_UP",0.0572603771127491,"Higher_methylation_in_Heavy","chr11",84611071
"cg29874754_BC11","Obese_UP",0.0509173862911732,"Higher_methylation_in_Heavy","chr11",85829484
"cg29902052_BC11","Obese_UP",0.0596966719038319,"Higher_methylation_in_Heavy","chr11",88293254
"cg29902853_TC21","Obese_UP",0.0578629191344867,"Higher_methylation_in_Heavy","chr11",88354888
"cg29905650_BC21","Obese_UP",0.0674632737013105,"Higher_methylation_in_Heavy","chr11",88574323
"cg29948080_BC21","Lean_UP",-0.0946863605860442,"Higher_methylation_in_Light","chr11",94082479
"cg29959304_BC11","Obese_UP",0.0583355648446605,"Higher_methylation_in_Heavy","chr11",94990427
"cg29961768_TC11","Obese_UP",0.071899399566435,"Higher_methylation_in_Heavy","chr11",95123006
"cg29963326_BC11","Obese_UP",0.0514025772028109,"Higher_methylation_in_Heavy","chr11",95225584
"cg29971365_BC21","Obese_UP",0.0528308236883659,"Higher_methylation_in_Heavy","chr11",95830683
"cg29971373_TC21","Obese_UP",0.0556883955694308,"Higher_methylation_in_Heavy","chr11",95830784
"cg29973562_BC11","Obese_UP",0.0685091703461334,"Higher_methylation_in_Heavy","chr11",95991548
"cg29979230_TC21","Obese_UP",0.068789853853408,"Higher_methylation_in_Heavy","chr11",96332762
"cg29979455_BC21","Lean_UP",-0.0568471840564566,"Higher_methylation_in_Light","chr11",96343807
"cg29979572_BC11","Obese_UP",0.0702399861148093,"Higher_methylation_in_Heavy","chr11",96345972
"cg29993515_TC11","Obese_UP",0.0692957557839665,"Higher_methylation_in_Heavy","chr11",97337221
"cg29993572_TC11","Obese_UP",0.0721042455156393,"Higher_methylation_in_Heavy","chr11",97339042
"cg29997016_TC11","Obese_UP",0.0615183140868999,"Higher_methylation_in_Heavy","chr11",97546485
"cg29998337_TC11","Obese_UP",0.0568369524105305,"Higher_methylation_in_Heavy","chr11",97628131
"cg30024270_BC11","Obese_UP",0.0626203764785416,"Higher_methylation_in_Heavy","chr11",99349061
"cg30026905_BC21","Lean_UP",-0.0579803200861945,"Higher_methylation_in_Light","chr11",99583757
"cg30027382_BC21","Lean_UP",-0.064504421424068,"Higher_methylation_in_Light","chr11",99644373
"cg30030540_BC11","Obese_UP",0.0564986927266772,"Higher_methylation_in_Heavy","chr11",100096123
"cg30040458_TC21","Obese_UP",0.0501140049339984,"Higher_methylation_in_Heavy","chr11",100806873
"cg30074676_BC21","Lean_UP",-0.0536420161615081,"Higher_methylation_in_Light","chr11",103118883
"cg30085444_TC11","Obese_UP",0.0501990542686929,"Higher_methylation_in_Heavy","chr11",103938298
"cg30116130_BC21","Obese_UP",0.0559819161240312,"Higher_methylation_in_Heavy","chr11",106901018
"cg30130233_TC21","Obese_UP",0.0597408376504998,"Higher_methylation_in_Heavy","chr11",107979729
"cg30131011_BC21","Obese_UP",0.0520762600222107,"Higher_methylation_in_Heavy","chr11",108040382
"cg30139132_BC21","Obese_UP",0.053624646140387,"Higher_methylation_in_Heavy","chr11",108926131
"cg30144315_BC21","Obese_UP",0.0583407989189927,"Higher_methylation_in_Heavy","chr11",109356828
"cg30154532_BC11","Lean_UP",-0.0542765563465309,"Higher_methylation_in_Light","chr11",110268478
"cg30161227_TC11","Obese_UP",0.0612667347029939,"Higher_methylation_in_Heavy","chr11",111024525
"cg30175467_TC11","Obese_UP",0.0510166193660965,"Higher_methylation_in_Heavy","chr11",112812174
"cg30179789_TC11","Obese_UP",0.0854729235113476,"Higher_methylation_in_Heavy","chr11",113172918
"cg30195315_BC21","Obese_UP",0.0626622831015821,"Higher_methylation_in_Heavy","chr11",114234359
"cg30195316_BC21","Obese_UP",0.0694457695692559,"Higher_methylation_in_Heavy","chr11",114234375
"cg30225891_BC21","Lean_UP",-0.0548228359577866,"Higher_methylation_in_Light","chr11",116280823
"cg30252801_TC11","Obese_UP",0.0543229535779315,"Higher_methylation_in_Heavy","chr11",117993536
"cg30264686_TC11","Obese_UP",0.0782352942718249,"Higher_methylation_in_Heavy","chr11",118793489
"cg30264688_BC11","Obese_UP",0.0564801633300788,"Higher_methylation_in_Heavy","chr11",118793647
"cg30293391_TC11","Obese_UP",0.0524784035292282,"Higher_methylation_in_Heavy","chr11",120608755
"cg30293392_TC11","Obese_UP",0.0555046215791667,"Higher_methylation_in_Heavy","chr11",120608765
"cg30295268_TC11","Obese_UP",0.0681437136649144,"Higher_methylation_in_Heavy","chr11",120707325
"cg30321800_BC11","Obese_UP",0.0541676425622914,"Higher_methylation_in_Heavy","chr12",4275135
"cg30321801_BC21","Obese_UP",0.0539988350621401,"Higher_methylation_in_Heavy","chr12",4275153
"cg30345721_BC21","Obese_UP",0.0526485053980107,"Higher_methylation_in_Heavy","chr12",8013070
"cg30347820_TC11","Obese_UP",0.0643147974363085,"Higher_methylation_in_Heavy","chr12",8298101
"cg30351298_BC11","Obese_UP",0.0599140531542075,"Higher_methylation_in_Heavy","chr12",8597146
"cg30359570_TC11","Obese_UP",0.0562116257404787,"Higher_methylation_in_Heavy","chr12",9580130
"cg30374686_TC21","Obese_UP",0.0593571532693401,"Higher_methylation_in_Heavy","chr12",12306804
"cg30380222_TC21","Obese_UP",0.0645912017548014,"Higher_methylation_in_Heavy","chr12",12937107
"cg30380240_TC21","Obese_UP",0.065068571015914,"Higher_methylation_in_Heavy","chr12",12937331
"cg30380253_BC21","Obese_UP",0.0514940903029311,"Higher_methylation_in_Heavy","chr12",12937522
"cg30381514_BC21","Obese_UP",0.054325259912922,"Higher_methylation_in_Heavy","chr12",13054673
"cg30399223_TC21","Obese_UP",0.0749267002933319,"Higher_methylation_in_Heavy","chr12",16207529
"cg30413137_TC11","Obese_UP",0.0787508205081762,"Higher_methylation_in_Heavy","chr12",17728585
"cg30437557_BC21","Lean_UP",-0.0583977924255216,"Higher_methylation_in_Light","chr12",20846008
"cg30462978_BC11","Obese_UP",0.0738468385348938,"Higher_methylation_in_Heavy","chr12",24675219
"cg30514246_BC21","Lean_UP",-0.0517053211228395,"Higher_methylation_in_Light","chr12",31351751
"cg30581536_TC11","Lean_UP",-0.0511460923833917,"Higher_methylation_in_Light","chr12",41484402
"cg30633859_TC11","Obese_UP",0.0558886649961229,"Higher_methylation_in_Heavy","chr12",51707063
"cg30662285_TC11","Obese_UP",0.0762919544323014,"Higher_methylation_in_Heavy","chr12",54796166
"cg30664893_BC21","Obese_UP",0.0546231982745113,"Higher_methylation_in_Heavy","chr12",55062794
"cg30668950_TC21","Obese_UP",0.065291463344085,"Higher_methylation_in_Heavy","chr12",55507327
"cg30713492_TC21","Obese_UP",0.0681583218668014,"Higher_methylation_in_Heavy","chr12",62762493
"cg30729366_TC11","Obese_UP",0.0586551555888642,"Higher_methylation_in_Heavy","chr12",65926282
"cg30732446_TC21","Obese_UP",0.0534277035460357,"Higher_methylation_in_Heavy","chr12",66560989
"cg30750023_BC21","Lean_UP",-0.0503653228649725,"Higher_methylation_in_Light","chr12",69475497
"cg30763848_TC21","Obese_UP",0.0541941128488373,"Higher_methylation_in_Heavy","chr12",70729822
"cg30773344_BC21","Obese_UP",0.0509352675843433,"Higher_methylation_in_Heavy","chr12",71578980
"cg30787460_BC11","Obese_UP",0.0505650278328806,"Higher_methylation_in_Heavy","chr12",72946243
"cg30807975_TC21","Obese_UP",0.0613895378429933,"Higher_methylation_in_Heavy","chr12",75342755
"cg30831266_BC21","Obese_UP",0.065611870531878,"Higher_methylation_in_Heavy","chr12",77421818
"cg30872551_BC21","Obese_UP",0.0592353655180839,"Higher_methylation_in_Heavy","chr12",82114764
"cg30894297_BC11","Obese_UP",0.0542618680759945,"Higher_methylation_in_Heavy","chr12",84191873
"cg30903776_TC21","Obese_UP",0.052517864473249,"Higher_methylation_in_Heavy","chr12",84941895
"cg30908640_BC21","Lean_UP",-0.0593726661856927,"Higher_methylation_in_Light","chr12",85341111
"cg30915400_TC11","Obese_UP",0.0544083482340978,"Higher_methylation_in_Heavy","chr12",85913153
"cg30940579_TC21","Obese_UP",0.0587283258495118,"Higher_methylation_in_Heavy","chr12",88632403
"cg30959669_BC21","Obese_UP",0.0520861628973317,"Higher_methylation_in_Heavy","chr12",91695049
"cg30959822_BC21","Obese_UP",0.0776875965414865,"Higher_methylation_in_Heavy","chr12",91708328
"cg30980476_TC11","Obese_UP",0.0748996468838269,"Higher_methylation_in_Heavy","chr12",95697264
"cg30989829_BC21","Lean_UP",-0.0676946296419246,"Higher_methylation_in_Light","chr12",97663508
"cg31006761_BC21","Obese_UP",0.0718547872706072,"Higher_methylation_in_Heavy","chr12",99445432
"cg31013276_BC11","Obese_UP",0.0519527850575595,"Higher_methylation_in_Heavy","chr12",99966537
"cg31098733_BC11","Obese_UP",0.0543276131211334,"Higher_methylation_in_Heavy","chr12",107938083
"cg31119395_BC11","Obese_UP",0.0591543684949261,"Higher_methylation_in_Heavy","chr12",109525936
"cg31119462_TC21","Obese_UP",0.0621320398818676,"Higher_methylation_in_Heavy","chr12",109528172
"cg31119463_TC21","Obese_UP",0.0968309463796877,"Higher_methylation_in_Heavy","chr12",109528253
"cg31119465_BC21","Obese_UP",0.0981338368528155,"Higher_methylation_in_Heavy","chr12",109528270
"cg31119469_BC21","Obese_UP",0.102125188470747,"Higher_methylation_in_Heavy","chr12",109528329
"cg31119494_TC21","Obese_UP",0.0772716830460448,"Higher_methylation_in_Heavy","chr12",109528625
"cg31119653_TC11","Obese_UP",0.0539401870793149,"Higher_methylation_in_Heavy","chr12",109540458
"cg31127551_TC21","Obese_UP",0.0500295840467599,"Higher_methylation_in_Heavy","chr12",110226507
"cg31145951_BC11","Obese_UP",0.0587868744398131,"Higher_methylation_in_Heavy","chr12",111445692
"cg31145986_BC11","Obese_UP",0.0528063135993946,"Higher_methylation_in_Heavy","chr12",111445915
"cg31173212_TC11","Obese_UP",0.0518626377249425,"Higher_methylation_in_Heavy","chr12",113188283
"cg31183449_TC21","Obese_UP",0.0546562700333511,"Higher_methylation_in_Heavy","chr12",115329326
"cg31196896_BC21","Obese_UP",0.0514457623883774,"Higher_methylation_in_Heavy","chr12",117378460
"cg31222001_BC21","Lean_UP",-0.053256032208336,"Higher_methylation_in_Light","chr13",4059664
"cg31254410_TC21","Lean_UP",-0.068596337372785,"Higher_methylation_in_Light","chr13",9495310
"cg31292464_BC21","Lean_UP",-0.053519134814549,"Higher_methylation_in_Light","chr13",15461807
"cg31322600_TC21","Obese_UP",0.0567829905840985,"Higher_methylation_in_Heavy","chr13",20354998
"cg31329368_BC21","Obese_UP",0.0532615542155366,"Higher_methylation_in_Heavy","chr13",21264989
"cg31338240_TC21","Lean_UP",-0.098680999879601,"Higher_methylation_in_Light","chr13",22282407
"cg31349596_TC21","Obese_UP",0.0767998118780343,"Higher_methylation_in_Heavy","chr13",23870354
"cg31373411_TC11","Obese_UP",0.0510591651685678,"Higher_methylation_in_Heavy","chr13",27433594
"cg31385310_BC21","Obese_UP",0.0688585906227536,"Higher_methylation_in_Heavy","chr13",29278595
"cg31425995_BC21","Obese_UP",0.0587103208520014,"Higher_methylation_in_Heavy","chr13",34685361
"cg31426528_BC21","Lean_UP",-0.0526127718745333,"Higher_methylation_in_Light","chr13",34747262
"cg31433627_TC11","Obese_UP",0.0520482285411184,"Higher_methylation_in_Heavy","chr13",35761851
"cg31449157_BC21","Obese_UP",0.061085381238064,"Higher_methylation_in_Heavy","chr13",37717431
"cg31492516_TC21","Obese_UP",0.0576517155337939,"Higher_methylation_in_Heavy","chr13",42149561
"cg31557661_TC21","Obese_UP",0.052791686024085,"Higher_methylation_in_Heavy","chr13",48237232
"cg31577846_TC21","Obese_UP",0.0558447991867859,"Higher_methylation_in_Heavy","chr13",50328810
"cg31588224_TC11","Obese_UP",0.0616975819715903,"Higher_methylation_in_Heavy","chr13",51567794
"cg31609344_TC11","Obese_UP",0.0765440746161358,"Higher_methylation_in_Heavy","chr13",53278992
"cg31617953_BC21","Obese_UP",0.0715337518617663,"Higher_methylation_in_Heavy","chr13",54044862
"cg31622145_BC11","Obese_UP",0.054975609417641,"Higher_methylation_in_Heavy","chr13",54392313
"cg31636013_BC11","Obese_UP",0.0673884948763677,"Higher_methylation_in_Heavy","chr13",55420750
"cg31665347_TC21","Obese_UP",0.0678429255402281,"Higher_methylation_in_Heavy","chr13",57728233
"cg31692886_TC21","Obese_UP",0.0528680209244636,"Higher_methylation_in_Heavy","chr13",59943238
"cg31716388_TC21","Obese_UP",0.0650257823586875,"Higher_methylation_in_Heavy","chr13",63107900
"cg31720378_TC11","Obese_UP",0.060328833625419,"Higher_methylation_in_Heavy","chr13",63561923
"cg31720930_BC11","Obese_UP",0.0616413383694879,"Higher_methylation_in_Heavy","chr13",63574690
"cg31721638_TC21","Obese_UP",0.0552696277340053,"Higher_methylation_in_Heavy","chr13",63662094
"cg31732837_BC21","Obese_UP",0.0556851845345913,"Higher_methylation_in_Heavy","chr13",65206162
"cg31744311_BC21","Obese_UP",0.0540472964155399,"Higher_methylation_in_Heavy","chr13",67278466
"cg31789833_TC21","Obese_UP",0.0555080834134777,"Higher_methylation_in_Heavy","chr13",72849539
"cg31812336_TC21","Lean_UP",-0.0519063550950018,"Higher_methylation_in_Light","chr13",76020164
"cg31824006_BC11","Obese_UP",0.0615140013045724,"Higher_methylation_in_Heavy","chr13",78189807
"cg31824096_BC11","Obese_UP",0.0527019081371889,"Higher_methylation_in_Heavy","chr13",78195276
"cg31837079_BC11","Lean_UP",-0.0532137297750993,"Higher_methylation_in_Light","chr13",80940885
"cg31910746_TC21","Lean_UP",-0.0672436497124415,"Higher_methylation_in_Light","chr13",93674931
"cg31920117_BC21","Obese_UP",0.0582716386966991,"Higher_methylation_in_Heavy","chr13",94549821
"cg31947627_BC11","Obese_UP",0.057882532867543,"Higher_methylation_in_Heavy","chr13",97238195
"cg31949661_TC21","Obese_UP",0.052776276254762,"Higher_methylation_in_Heavy","chr13",97395027
"cg31955291_TC21","Obese_UP",0.0538670683616621,"Higher_methylation_in_Heavy","chr13",97938741
"cg31968966_TC11","Lean_UP",-0.0523928969187837,"Higher_methylation_in_Light","chr13",99100678
"cg31973118_TC21","Obese_UP",0.0526499663165743,"Higher_methylation_in_Heavy","chr13",99444225
"cg32007871_TC21","Obese_UP",0.0580879102082451,"Higher_methylation_in_Heavy","chr13",103426174
"cg32079943_BC21","Obese_UP",0.0561462245642873,"Higher_methylation_in_Heavy","chr13",112189810
"cg32084808_TC21","Obese_UP",0.0505174063726179,"Higher_methylation_in_Heavy","chr13",112642740
"cg32107190_BC21","Obese_UP",0.0600194958967898,"Higher_methylation_in_Heavy","chr13",114643068
"cg32226382_BC21","Obese_UP",0.0505814355446689,"Higher_methylation_in_Heavy","chr14",18396405
"cg32258165_TC21","Obese_UP",0.0538452915753182,"Higher_methylation_in_Heavy","chr14",22144167
"cg32261577_TC21","Obese_UP",0.0537978967858419,"Higher_methylation_in_Heavy","chr14",22589750
"cg32266672_BC21","Obese_UP",0.0527956745608147,"Higher_methylation_in_Heavy","chr14",23437146
"cg32285331_TC21","Obese_UP",0.0679750312584356,"Higher_methylation_in_Heavy","chr14",25585648
"cg32313783_BC21","Obese_UP",0.0501291060272806,"Higher_methylation_in_Heavy","chr14",29134707
"cg32426357_BC21","Obese_UP",0.061222149558393,"Higher_methylation_in_Heavy","chr14",45858967
"cg32427342_TC21","Obese_UP",0.0700306925848915,"Higher_methylation_in_Heavy","chr14",45989291
"cg32427389_BC11","Obese_UP",0.0646991776946543,"Higher_methylation_in_Heavy","chr14",45992513
"cg32432748_BC21","Obese_UP",0.0563614825053374,"Higher_methylation_in_Heavy","chr14",46634521
"cg32432748_BC22","Obese_UP",0.0628337802090038,"Higher_methylation_in_Heavy","chr14",46634521
"cg32444508_BC11","Obese_UP",0.0525416152341069,"Higher_methylation_in_Heavy","chr14",47648445
"cg32472424_BC11","Obese_UP",0.0514005409634691,"Higher_methylation_in_Heavy","chr14",51114375
"cg32473715_TC21","Lean_UP",-0.0522892596383456,"Higher_methylation_in_Light","chr14",51313041
"cg32535719_TC21","Obese_UP",0.0541203828828076,"Higher_methylation_in_Heavy","chr14",58036358
"cg32541036_BC21","Obese_UP",0.0553381420359362,"Higher_methylation_in_Heavy","chr14",58761808
"cg32560915_BC21","Obese_UP",0.050833387712439,"Higher_methylation_in_Heavy","chr14",61005597
"cg32561745_BC21","Obese_UP",0.0666045765901451,"Higher_methylation_in_Heavy","chr14",61077872
"cg32577394_BC21","Lean_UP",-0.0506983477504672,"Higher_methylation_in_Light","chr14",62839090
"cg32646923_TC11","Obese_UP",0.059850681631907,"Higher_methylation_in_Heavy","chr14",70079118
"cg32646955_TC11","Obese_UP",0.0551763132389911,"Higher_methylation_in_Heavy","chr14",70079611
"cg32656510_TC11","Lean_UP",-0.0743600722764259,"Higher_methylation_in_Light","chr14",70890335
"cg32700919_BC11","Obese_UP",0.0510453365037422,"Higher_methylation_in_Heavy","chr14",76504202
"cg32726800_BC21","Obese_UP",0.0657808650148939,"Higher_methylation_in_Heavy","chr14",79155267
"cg32732320_TC11","Obese_UP",0.0512062906661033,"Higher_methylation_in_Heavy","chr14",79661542
"cg32740064_TC21","Obese_UP",0.0506713057119826,"Higher_methylation_in_Heavy","chr14",80755548
"cg32755582_TC21","Obese_UP",0.0622389081225382,"Higher_methylation_in_Heavy","chr14",84468746
"cg32774362_BC21","Obese_UP",0.0603780927831854,"Higher_methylation_in_Heavy","chr14",87613832
"cg32811894_BC21","Obese_UP",0.0554528008511224,"Higher_methylation_in_Heavy","chr14",95808249
"cg32832845_TC21","Obese_UP",0.055443508389192,"Higher_methylation_in_Heavy","chr14",99341143
"cg32836537_TC21","Obese_UP",0.0528736142082861,"Higher_methylation_in_Heavy","chr14",99754613
"cg32885543_TC21","Obese_UP",0.0513296616718932,"Higher_methylation_in_Heavy","chr14",105892569
"cg32885573_BC11","Obese_UP",0.0652362064387864,"Higher_methylation_in_Heavy","chr14",105893602
"cg32916564_TC21","Lean_UP",-0.0543491734546448,"Higher_methylation_in_Light","chr14",112434807
"cg32952916_BC11","Obese_UP",0.0691849107700968,"Higher_methylation_in_Heavy","chr14",118212245
"cg32953841_BC21","Obese_UP",0.057416250249521,"Higher_methylation_in_Heavy","chr14",118258309
"cg32955072_BC21","Obese_UP",0.0536815685297703,"Higher_methylation_in_Heavy","chr14",118363731
